unique_id,country,district,site,year,season,plant_date,harvest_date,field_latitude,field_longitude,plot_acres,hybrid,flood,drought,pest_disease,mlnd,msv,intercrop,dap_kg_pa,urea_kg_pa,weed,yield_kg_pa,yield_kg_ph,district_season_median_yield,stress_threshold,stress_label,stress_severity
495b171f,Uganda,kamuli,buganza,2020,lr,10-Mar-20,,0.8496883333,33.16016667,0.08746568114,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,432.7785,1069.4174,710.993255,497.6952785,1,Mild
a9c1f280,Uganda,kamuli,buganza,2020,lr,15-Mar-20,,0.864585,33.17779333,0.635002017,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,1079.136,2666.5989,710.993255,497.6952785,0,None
6e34faa5,Uganda,kamuli,buganza,2020,lr,18-Mar-20,,0.8512216667,33.16702833,0.4233346581,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,1056.6539,2611.0447,710.993255,497.6952785,0,None
a45ff114,Uganda,kamuli,buganza,2020,lr,14-Feb-20,,0.963525,33.23325833,1.693338633,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,899.28003,2222.166,710.993255,497.6952785,0,None
95cd1ae6,Uganda,kamuli,buganza,2020,lr,20-Feb-20,,0.84853,33.17549333,0.4233346581,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,1483.812,3666.5737,710.993255,497.6952785,0,None
604fa1f5,Uganda,kamuli,buganza,2020,lr,24-Mar-20,,0.8629616667,33.17365,0.2798901796,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,702.5625,1736.067,710.993255,497.6952785,1,None
4bdf7f7f,Uganda,kamuli,buganza,2020,lr,20-Mar-20,,0.86442,33.17502333,0.4233346581,0.0,0.0,0.0,1.0,,,1.0,,0.0,,635.11652,1569.4047,710.993255,497.6952785,1,None
fbb8ea80,Uganda,kamuli,buganza,2020,lr,15-Mar-20,,0.8639333333,33.177195,0.635002017,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,,382.194,944.42047,710.993255,497.6952785,1,Mild
2ec5a98e,Uganda,kamuli,buganza,2020,lr,5-Mar-20,,0.8486483333,33.16110333,0.1554945409,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,292.26599,722.20386,710.993255,497.6952785,1,Severe
ca56e519,Uganda,kamuli,buganza,2020,lr,12-Mar-20,,0.8494916667,33.15735333,0.8466693163,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,432.7785,1069.4174,710.993255,497.6952785,1,Mild
7fa2181b,Uganda,kamuli,bulange,2020,lr,5-Mar-20,,0.8915366667,33.26727,1.058336616,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,854.31598,2111.0576,710.993255,497.6952785,0,None
2db16834,Uganda,kamuli,bulange,2020,lr,7-Mar-20,,0.89209,33.27356833,0.8466693163,1.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,831.83398,2055.5034,710.993255,497.6952785,0,None
1bfe3746,Uganda,kamuli,bulange,2020,lr,3-Mar-20,,0.8909266667,33.26197833,0.4233346581,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,899.28003,2222.166,710.993255,497.6952785,0,None
e25b00de,Uganda,kamuli,bulange,2020,lr,10-Mar-20,,0.8966266667,33.26914167,0.8466693163,0.0,1.0,1.0,0.0,,,1.0,0.0,0.0,,314.74799,777.758,710.993255,497.6952785,1,Severe
9e0e35b8,Uganda,kamuli,bulange,2020,lr,10-Mar-20,,0.902295,33.27236333,0.4233346581,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,202.338,499.9873,710.993255,497.6952785,1,Extreme
7546924f,Uganda,kamuli,bulange,2020,lr,25-Mar-20,,0.8972316667,33.25035,0.4664836526,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,517.086,1277.7454,710.993255,497.6952785,1,None
0c9d9282,Uganda,kamuli,bulange,2020,lr,10-Mar-20,,0.886025,33.28100833,0.01943681762,0.0,0.0,0.0,0.0,,,0.0,,0.0,,1169.064,2888.8154,710.993255,497.6952785,0,None
634e8eea,Uganda,kamuli,bulange,2020,lr,15-Mar-20,,0.916655,33.24927833,0.8466693163,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,337.23001,833.31219,710.993255,497.6952785,1,Severe
c6c6d32f,Uganda,kamuli,bulange,2020,lr,15-Mar-20,,0.8927633333,33.275985,0.3109890819,0.0,0.0,0.0,1.0,,,1.0,3.2155471,0.0,,1393.8839,3444.3569,710.993255,497.6952785,0,None
b15c684a,Uganda,kamuli,bulange,2020,lr,5-Mar-20,,0.8923666667,33.27249667,0.09718409181,1.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,803.73151,1986.0608,710.993255,497.6952785,0,None
1615b90c,Uganda,kamuli,bulange,2020,lr,14-Mar-20,,0.8945016667,33.25538333,0.4233346581,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,562.04999,1388.8536,710.993255,497.6952785,1,None
e9920a22,Uganda,kamuli,bulange,2020,lr,28-Mar-20,,0.9026833333,33.270665,0.2116673291,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,134.892,333.32486,710.993255,497.6952785,1,Extreme
80e88244,Uganda,kamuli,bulange,2020,lr,10-Mar-20,,0.9159133333,33.25375333,0.1263393164,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,719.42401,1777.7327,710.993255,497.6952785,0,None
dc62960a,Uganda,jinja,butamira,2020,lr,22-Apr-20,,0.625115,33.22709,0.4664836526,1.0,0.0,1.0,1.0,,,1.0,,17.149582,,601.39349,1486.0734,814.97247,570.480729,1,None
b4b1a8c5,Uganda,jinja,butamira,2020,lr,17-Mar-20,,0.62956,33.20954833,0.4233346581,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,1124.1,2777.7073,814.97247,570.480729,0,None
be2eaa4c,Uganda,jinja,butamira,2020,lr,15-Mar-20,,0.6233666667,33.21572,0.1058336645,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,921.76196,2277.72,814.97247,570.480729,0,None
fa253f54,Uganda,jinja,butamira,2020,lr,24-Feb-20,,0.611215,33.21465,0.8466693163,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,365.33249,902.75482,814.97247,570.480729,1,Severe
76316cce,Uganda,jinja,butamira,2020,lr,7-Feb-20,,0.61331,33.19117,0.314876467,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,0.0,0.0,814.97247,570.480729,1,Extreme
232610cf,Uganda,jinja,butamira,2020,lr,14-Mar-20,,0.6216466667,33.21046833,,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,483.36301,1194.4142,814.97247,570.480729,1,Mild
f9df535d,Uganda,jinja,butamira,2020,lr,6-Feb-20,,0.6175583333,33.22253833,0.4233346581,1.0,1.0,0.0,1.0,,,1.0,11.810987,0.0,,359.71201,888.86633,814.97247,570.480729,1,Severe
cf84ed48,Uganda,jinja,butamira,2020,lr,6-Mar-20,,0.631695,33.23250667,0.5291683078,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,494.604,1222.1913,814.97247,570.480729,1,Mild
37609961,Uganda,jinja,butamira,2020,lr,15-Apr-20,,0.6384666667,33.22658167,0.02915522829,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,505.845,1249.9683,814.97247,570.480729,1,Mild
70c680d6,Uganda,jinja,butamira,2020,lr,25-Feb-20,,0.6333466667,33.19657333,0.8466693163,0.0,1.0,0.0,1.0,,,1.0,0.0,0.0,,281.02499,694.42682,814.97247,570.480729,1,Severe
7cbefc27,Uganda,jinja,butamira,2020,lr,15-Mar-20,,0.621755,33.21096,3.673558712,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,505.845,1249.9683,814.97247,570.480729,1,Mild
de8eb58a,Uganda,jinja,butamira,2020,lr,21-Feb-20,,0.6216133333,33.239605,0.8466693163,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,584.53198,1444.4077,814.97247,570.480729,1,None
0b585646,Uganda,jinja,butamira,2020,lr,10-Mar-20,,0.6186183333,33.22739667,0.3109890819,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,146.133,361.10193,814.97247,570.480729,1,Extreme
0da7276a,Uganda,jinja,butamira,2020,lr,2-Feb-20,,0.6289983333,33.21886667,0.07774727046,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,472.12198,1166.637,814.97247,570.480729,1,Mild
479edd98,Uganda,jinja,butamira,2020,lr,3-Mar-20,,0.62678,33.208795,2.116673231,1.0,0.0,0.0,1.0,,,0.0,5.6692739,0.0,,1062.2745,2624.9336,814.97247,570.480729,0,None
2b46d1a7,Uganda,kamuli,bwiiza,2020,lr,20-Mar-20,,0.915165,33.05955167,1.693338633,1.0,0.0,1.0,1.0,,,1.0,2.9527466,0.0,,387.81451,958.30908,710.993255,497.6952785,1,Mild
3679f0cf,Uganda,kamuli,bwiiza,2020,lr,4-Apr-20,,0.9131616667,33.02922167,1.270004034,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,269.784,666.64972,710.993255,497.6952785,1,Severe
f33616d2,Uganda,kamuli,bwiiza,2020,lr,14-Feb-20,,1.016123333,32.955935,0.8466693163,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,286.64551,708.31537,710.993255,497.6952785,1,Severe
d5693b64,Uganda,kamuli,bwiiza,2020,lr,28-Mar-20,,0.9364533333,33.11171333,0.4233346581,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,786.87,1944.3951,710.993255,497.6952785,0,None
5ab6bf9c,Uganda,kamuli,bwiiza,2020,lr,7-Mar-20,,0.9129816667,33.02988833,2.540008068,1.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,292.26599,722.20386,710.993255,497.6952785,1,Severe
f306a1bf,Uganda,kamuli,bwiiza,2020,lr,6-Mar-20,,0.9851066667,32.97184667,0.4233346581,1.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,359.71201,888.86633,710.993255,497.6952785,1,Mild
822f2a0c,Uganda,kamuli,bwiiza,2020,lr,12-Mar-20,,0.9602383333,32.98692,2.751675367,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,685.70099,1694.4015,710.993255,497.6952785,1,None
4.31E+12,Uganda,kamuli,bwiiza,2020,lr,5-Apr-20,,0.9833883333,32.97072667,0.4233346581,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,876.79803,2166.6118,710.993255,497.6952785,0,None
e27fc4d3,Uganda,kamuli,bwiiza,2020,lr,14-Mar-20,,0.9558183333,32.991015,0.8466693163,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,741.90601,1833.2869,710.993255,497.6952785,0,None
14681804,Uganda,kamuli,bwiiza,2020,lr,15-Mar-20,,0.941915,32.996315,0.8466693163,1.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,944.24396,2333.2739,710.993255,497.6952785,0,None
752cd103,Uganda,kamuli,bwiiza,2020,lr,7-Apr-20,,0.90275,33.0234,4.233346462,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,814.97247,2013.8378,710.993255,497.6952785,0,None
8847d1de,Uganda,kamuli,bwiiza,2020,lr,15-Mar-20,,0.9691216667,32.98029833,1.270004034,1.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,623.87555,1541.6277,710.993255,497.6952785,1,None
1190a961,Uganda,kamuli,bwiiza,2020,lr,17-Mar-20,,0.9869816667,32.973895,0.8466693163,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,1354.5405,3347.1375,710.993255,497.6952785,0,None
e5660e19,Uganda,kamuli,bwiiza,2020,lr,5-Mar-20,,0.9130816667,33.02556167,0.8466693163,0.0,1.0,1.0,0.0,,,1.0,0.0,0.0,,607.01404,1499.962,710.993255,497.6952785,1,None
4f3a3333,Uganda,kamuli,bwiiza,2020,lr,15-Mar-20,,0.9790216667,32.97516,0.4233346581,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,646.35748,1597.1816,710.993255,497.6952785,1,None
ac775775,Uganda,iganga,kalalu,2020,lr,7-Mar-20,,0.67488,33.615245,1.693338633,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,134.892,333.32486,505.845,354.0915,1,Extreme
5e4cb585,Uganda,iganga,kalalu,2020,lr,5-Mar-20,,0.679425,33.609575,1.270004034,1.0,0.0,1.0,0.0,,,0.0,3.9369953,0.0,,325.98901,805.53516,505.845,354.0915,1,Mild
079745d1,Uganda,iganga,kalalu,2020,lr,27-Mar-20,,0.6730766667,33.61352,0.4233346581,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,320.3685,791.64661,505.845,354.0915,1,Mild
48ee96d2,Uganda,iganga,kalalu,2020,lr,18-Mar-20,,0.6750116667,33.61495667,0.4233346581,1.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,134.892,333.32486,505.845,354.0915,1,Extreme
31f3bb5b,Uganda,iganga,kalalu,2020,lr,25-Mar-20,,0.6960666667,33.61265667,0.8466693163,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,140.5125,347.21341,505.845,354.0915,1,Extreme
d5f4c028,Uganda,iganga,kalalu,2020,lr,14-Apr-20,,0.6780033333,33.61310667,0.8466693163,1.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,607.01404,1499.962,505.845,354.0915,0,None
7b8f5f7a,Uganda,iganga,kalalu,2020,lr,18-Feb-20,,0.675095,33.613875,0.4233346581,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,67.445999,166.66243,505.845,354.0915,1,Extreme
69cd0666,Uganda,iganga,kalalu,2020,lr,27-Jan-20,,0.6748133333,33.61554833,1.693338633,1.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,545.18848,1347.188,505.845,354.0915,0,None
9a8e3edd,Uganda,iganga,kalalu,2020,lr,12-Mar-20,,0.6867333333,33.615595,0.4233346581,0.0,0.0,1.0,0.0,,,1.0,9.4487896,0.0,,382.194,944.42047,505.845,354.0915,1,None
126733db,Uganda,iganga,kalalu,2020,lr,15-Feb-20,,0.677325,33.613545,0.8466693163,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,191.097,472.21024,505.845,354.0915,1,Severe
47960097,Uganda,kamuli,kasozi,2020,lr,4-Mar-20,,1.049928333,33.01229167,1.693338633,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,1236.51,3055.478,710.993255,497.6952785,0,None
383a8c89,Uganda,kamuli,kasozi,2020,lr,9-Mar-20,,1.023886667,32.977185,2.540008068,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,702.5625,1736.067,710.993255,497.6952785,1,None
f19ddb09,Uganda,kamuli,kasozi,2020,lr,25-Mar-20,,1.033481667,33.01441,0.8466693163,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,168.61501,416.6561,710.993255,497.6952785,1,Extreme
da8a62d1,Uganda,iganga,naibiri,2020,lr,21-Mar-20,,0.830265,33.50439833,2.540008068,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,595.77301,1472.1849,505.845,354.0915,0,None
36a20baa,Uganda,iganga,naibiri,2020,lr,8-Feb-20,,0.8335883333,33.53454333,2.116673231,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,286.64551,708.31537,505.845,354.0915,1,Mild
c978002e,Uganda,iganga,naibiri,2020,lr,23-Feb-20,,0.84396,33.52952833,0.4233346581,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,219.19951,541.65295,505.845,354.0915,1,Severe
045916f2,Uganda,iganga,naibiri,2020,lr,6-Mar-20,,0.8345216667,33.50568833,0.635002017,1.0,0.0,0.0,1.0,,,0.0,6.2991924,0.0,,505.845,1249.9683,505.845,354.0915,0,None
5fce38cf,Uganda,iganga,naibiri,2020,lr,5-Mar-20,,0.8440466667,33.53006333,0.635002017,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,505.845,1249.9683,505.845,354.0915,0,None
26499274,Uganda,iganga,naibiri,2020,lr,12-Mar-20,,0.8345483333,33.52091,0.8466693163,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,888.039,2194.3887,505.845,354.0915,0,None
2b14e746,Uganda,iganga,naibiri,2020,lr,1-Mar-20,,0.8420366667,33.50223833,1.270004034,1.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,449.64001,1111.083,505.845,354.0915,1,None
fb3d5814,Uganda,iganga,naibiri,2020,lr,30-Mar-20,,0.8343316667,33.53672167,0.8466693163,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,410.29651,1013.8632,505.845,354.0915,1,None
8a3612cf,Uganda,iganga,naibiri,2020,lr,15-Mar-20,,0.8166416667,33.497625,0.8466693163,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,595.77301,1472.1849,505.845,354.0915,0,None
e0a47740,Uganda,iganga,naibiri,2020,lr,23-Mar-20,,0.8438766667,33.52922667,1.693338633,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,505.845,1249.9683,505.845,354.0915,0,None
0cfd78f2,Uganda,iganga,naibiri,2020,lr,13-Apr-20,,0.842715,33.51440167,0.8466693163,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,944.24396,2333.2739,505.845,354.0915,0,None
a8b45469,Uganda,iganga,nakalama,2020,lr,23-Feb-20,,0.7272033333,33.47814,0.2116673291,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,528.32697,1305.5223,505.845,354.0915,0,None
1f92b79b,Uganda,iganga,nakalama,2020,lr,13-Mar-20,,0.6360716667,33.509675,1.270004034,0.0,1.0,0.0,1.0,,,1.0,0.0,0.0,,612.63446,1513.8503,505.845,354.0915,0,None
2a24bb39,Uganda,iganga,nakalama,2020,lr,19-Apr-20,,0.7253566667,33.48770167,0.2116673291,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,854.31598,2111.0576,505.845,354.0915,0,None
0d68e960,Uganda,iganga,nakalama,2020,lr,25-Feb-20,,0.6695133333,33.521805,0.4233346581,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,320.3685,791.64661,505.845,354.0915,1,Mild
e4c65c39,Uganda,iganga,nakalama,2020,lr,9-Mar-20,,0.6380566667,33.5427,0.8466693163,0.0,0.0,1.0,1.0,,,1.0,,,,736.28552,1819.3983,505.845,354.0915,0,None
08c986c7,Uganda,iganga,nakalama,2020,lr,26-Apr-20,,0.6447633333,33.53415333,0.4233346581,1.0,0.0,1.0,1.0,,,0.0,5.9054933,0.0,,1079.136,2666.5989,505.845,354.0915,0,None
998b2e3e,Uganda,kamuli,nakulyaku,2020,lr,21-Mar-20,,0.947525,33.08679,0.8466693163,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,67.445999,166.66243,710.993255,497.6952785,1,Extreme
bc34d268,Uganda,kamuli,nakulyaku,2020,lr,30-Jan-20,,0.9943483333,33.11127833,1.693338633,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,230.44049,569.42999,710.993255,497.6952785,1,Severe
